method,scenario_file,source_file,runs,mean_error,std_error,mean_time,std_time
GrGSL,"House01_1,3-2,4_fast","results\GrGSL\House01_1,3-2,4_fast.csv",5,0.7555098,0.06376763256308013,72.343135,0.6104016571250463
GrGSL,"House01_1,3-2,4_slow","results\GrGSL\House01_1,3-2,4_slow.csv",5,0.7518277999999999,0.053728484011741844,70.726298,0.9513702186333669
GrGSL,"House01_2,4-1_fast","results\GrGSL\House01_2,4-1_fast.csv",5,0.6798938,0.04958738687105827,76.2637894,1.0240364248254583
GrGSL,"House01_2,4-1_slow","results\GrGSL\House01_2,4-1_slow.csv",5,1.1786804,0.15886361787489292,71.4361186,1.1176066403826068
GrGSL,"House02_3,5-1_fast","results\GrGSL\House02_3,5-1_fast.csv",5,0.6927922000000001,0.02758815183552534,110.23490380000001,8.632084709400779
GrGSL,"House02_3,5-1_slow","results\GrGSL\House02_3,5-1_slow.csv",5,0.687396,0.05794298940769278,74.479859,0.7768516296121185
GrGSL,"House02_4,5-3_fast","results\GrGSL\House02_4,5-3_fast.csv",5,0.7711448,0.051800866423255924,71.7901116,0.7477417414965519
GrGSL,"House02_4,5-3_slow","results\GrGSL\House02_4,5-3_slow.csv",5,0.783381,0.06646603219690492,71.227069,1.1031966464572376
GrGSL,"House03_1-2,5_fast","results\GrGSL\House03_1-2,5_fast.csv",5,5.2975974,1.1841112017647668,72.1767394,0.6432793806444462
GrGSL,"House03_1-2,5_slow","results\GrGSL\House03_1-2,5_slow.csv",5,4.5196046,0.628922091655477,70.672757,0.6464016199890739
GrGSL,House03_5-3_fast,results\GrGSL\House03_5-3_fast.csv,5,0.6708826,0.04085258011802927,164.2855568,7.233526248757914
GrGSL,House03_5-3_slow,results\GrGSL\House03_5-3_slow.csv,5,0.6792686,0.041961686492561275,181.6947788,16.340924819507823
GrGSL,"House04_5,7-1,2_fast","results\GrGSL\House04_5,7-1,2_fast.csv",5,0.8174992,0.04017607553880793,207.99499299999997,32.80328551138326
GrGSL,"House04_5,7-1,2_slow","results\GrGSL\House04_5,7-1,2_slow.csv",5,1.4302288,0.35492099597685123,100.29514859999999,6.925608456533245
GrGSL,"House04_7-3,8_fast","results\GrGSL\House04_7-3,8_fast.csv",5,0.6389246,0.01769716630706737,70.2055532,0.6824842748479267
GrGSL,"House04_7-3,8_slow","results\GrGSL\House04_7-3,8_slow.csv",5,0.729568,0.06311395401573254,72.0257322,0.8706307458022611
GrGSL,"House05_4,8-5_fast","results\GrGSL\House05_4,8-5_fast.csv",5,0.7697062,0.04272394218936264,80.396187,2.405515943951525
GrGSL,"House05_4,8-5_slow","results\GrGSL\House05_4,8-5_slow.csv",5,0.6943534,0.05955467168325252,69.95507380000001,0.2429298265728222
GrGSL,"House05_7-1,2_fast","results\GrGSL\House05_7-1,2_fast.csv",5,0.6665278,0.03398052203395349,70.3609186,0.6971444433073407
GrGSL,"House05_7-1,2_slow","results\GrGSL\House05_7-1,2_slow.csv",5,0.7565106,0.03972034693076082,72.4826354,1.0495771332888295
GrGSL,"House06_1,2-5_fast","results\GrGSL\House06_1,2-5_fast.csv",5,1.727987,0.28479063617243455,75.3494962,1.715618728162295
GrGSL,"House06_1,2-5_slow","results\GrGSL\House06_1,2-5_slow.csv",5,3.443053,0.5161750614956132,92.63108059999999,4.4770346334788735
GrGSL,"House06_1-4,5_fast","results\GrGSL\House06_1-4,5_fast.csv",5,2.8726598,0.25853372717249096,76.9397658,2.3295752433173713
GrGSL,"House06_1-4,5_slow","results\GrGSL\House06_1-4,5_slow.csv",5,2.5441986,0.5298768936921103,77.6843524,1.088826791717029
GrGSL,"House07_1,3-5_fast","results\GrGSL\House07_1,3-5_fast.csv",5,0.67875,0.045096302902787946,136.0980192,6.556455218973988
GrGSL,"House07_1,3-5_slow","results\GrGSL\House07_1,3-5_slow.csv",5,4.677800599999999,0.5346726413589907,71.7502154,1.0595823305898866
GrGSL,House07_6-1_fast,results\GrGSL\House07_6-1_fast.csv,5,0.7919436,0.05647006965021381,86.4329006,4.451657086599022
GrGSL,House07_6-1_slow,results\GrGSL\House07_6-1_slow.csv,5,2.9579526,0.5167091360768648,80.88078820000001,2.0237126806024595
GrGSL,"House08_1,3-7_fast","results\GrGSL\House08_1,3-7_fast.csv",5,0.8420792,0.06847058263736329,71.07804180000001,1.1589020600347117
GrGSL,"House08_1,3-7_slow","results\GrGSL\House08_1,3-7_slow.csv",5,0.9978756000000001,0.05542968664713884,72.4681652,0.8965248482962993
GrGSL,"House08_8,7-6_fast","results\GrGSL\House08_8,7-6_fast.csv",5,0.764835,0.03553422745044556,146.27962580000002,9.690464022484724
GrGSL,"House08_8,7-6_slow","results\GrGSL\House08_8,7-6_slow.csv",5,0.6540702,0.02855700577266463,103.129414,4.401939579624874
GrGSL,"House09_6-2,5_fast","results\GrGSL\House09_6-2,5_fast.csv",5,0.7162284,0.05971821744074418,150.9401598,9.422012035234737
GrGSL,"House09_6-2,5_slow","results\GrGSL\House09_6-2,5_slow.csv",5,0.659068,0.027274305105721777,71.7231012,1.1115144048332024
GrGSL,"House09_6-7,3_fast","results\GrGSL\House09_6-7,3_fast.csv",5,0.7167771999999999,0.06379376319594258,188.0661154,23.658436773232662
GrGSL,"House09_6-7,3_slow","results\GrGSL\House09_6-7,3_slow.csv",5,0.8127912,0.03355181362013088,73.43884080000001,0.996113785300004
GrGSL,"House10_1-3,2_fast","results\GrGSL\House10_1-3,2_fast.csv",5,1.2710048,0.1923602793996203,86.3436686,5.330963952369949
GrGSL,"House10_1-3,2_slow","results\GrGSL\House10_1-3,2_slow.csv",5,1.1871652000000001,0.1520216464642453,99.9610576,6.360777442165606
GrGSL,"House10_2,3-1_fast","results\GrGSL\House10_2,3-1_fast.csv",5,0.734131,0.0650577567819549,150.5577878,7.864089774645229
GrGSL,"House10_2,3-1_slow","results\GrGSL\House10_2,3-1_slow.csv",5,2.2290512,0.36046188646055216,124.8823924,8.252755290022224
GrGSL,"House11_1-2,3_fast","results\GrGSL\House11_1-2,3_fast.csv",5,0.9955757999999999,0.1083396728659451,86.1610348,2.0807668857415793
GrGSL,"House11_1-2,3_slow","results\GrGSL\House11_1-2,3_slow.csv",5,1.6377924,0.24096528600879424,107.81116320000001,10.369713474609203
GrGSL,House11_3-2_fast,results\GrGSL\House11_3-2_fast.csv,5,1.2847442,0.27963432471479616,90.2923174,4.915528638270895
GrGSL,House11_3-2_slow,results\GrGSL\House11_3-2_slow.csv,5,1.3106424,0.1101774336572603,118.54341819999999,11.87536194113106
GrGSL,"House12_4,6-1_fast","results\GrGSL\House12_4,6-1_fast.csv",5,1.2334364,0.22294475116337678,87.7286878,2.303831604823735
GrGSL,"House12_4,6-1_slow","results\GrGSL\House12_4,6-1_slow.csv",5,1.6672440000000002,0.33119657565787125,95.8116374,5.97395514047459
GrGSL,"House12_6,7-1_fast","results\GrGSL\House12_6,7-1_fast.csv",5,1.0111252,0.07835183443417262,79.189132,2.5720127352146807
GrGSL,"House12_6,7-1_slow","results\GrGSL\House12_6,7-1_slow.csv",5,1.4118742000000002,0.27205038092088757,108.09728500000001,9.43804302308916
GrGSL,"House13_1,3-6_fast","results\GrGSL\House13_1,3-6_fast.csv",5,2.4568896000000002,0.3815468063996867,90.5511564,2.788220097602467
GrGSL,"House13_1,3-6_slow","results\GrGSL\House13_1,3-6_slow.csv",5,2.7056910000000003,0.42388928037342494,93.4231542,6.777243496505659
GrGSL,"House13_2,3-4,6_fast","results\GrGSL\House13_2,3-4,6_fast.csv",5,1.0768444000000001,0.16570555561235717,74.4158294,0.7778487116482213
GrGSL,"House13_2,3-4,6_slow","results\GrGSL\House13_2,3-4,6_slow.csv",5,1.5558311999999999,0.19836090798894823,86.9888042,5.304969580998434
GrGSL,"House14_1,2-4,5_fast","results\GrGSL\House14_1,2-4,5_fast.csv",5,1.716303,0.29362512782798406,75.6956572,1.5306765781691758
GrGSL,"House14_1,2-4,5_slow","results\GrGSL\House14_1,2-4,5_slow.csv",5,2.2268304,0.4693354442488869,84.7146818,3.9910921395390924
GrGSL,"House14_3,4-2,6_fast","results\GrGSL\House14_3,4-2,6_fast.csv",5,2.5565198000000002,0.27179116510788215,79.7819836,1.5868968092410098
GrGSL,"House14_3,4-2,6_slow","results\GrGSL\House14_3,4-2,6_slow.csv",5,3.1688978,0.5971430753246662,85.9563588,3.025117301262662
GrGSL,"House15_1,2-3,4_fast","results\GrGSL\House15_1,2-3,4_fast.csv",5,2.1528666000000003,0.42005286281645554,76.6887406,1.3372537966453097
GrGSL,"House15_1,2-3,4_slow","results\GrGSL\House15_1,2-3,4_slow.csv",5,3.0289768,0.4895520934586022,90.0770374,5.75276993207844
GrGSL,"House15_3-1,2_fast","results\GrGSL\House15_3-1,2_fast.csv",5,1.925993,0.2406916359442098,74.77534419999999,0.9910143269343774
GrGSL,"House15_3-1,2_slow","results\GrGSL\House15_3-1,2_slow.csv",5,2.8024416000000003,0.49781348170906337,78.9959736,2.7394129703875065
GrGSL,"House16_1,2-4,5,6_fast","results\GrGSL\House16_1,2-4,5,6_fast.csv",5,1.1703012000000002,0.15543883239621947,75.8783234,1.8325814575781585
