method,scenario,simulation,speed,runs,mean_error,std_error,mean_search_time,std_search_time
GrGSL,House01,"1,3-2,4_fast",fast,5,0.755510,0.063768,72.343135,0.610402
GrGSL,House01,"1,3-2,4_slow",slow,5,0.751828,0.053728,70.726298,0.951370
GrGSL,House01,"2,4-1_fast",fast,5,0.679894,0.049587,76.263789,1.024036
GrGSL,House01,"2,4-1_slow",slow,5,1.178680,0.158864,71.436119,1.117607
GrGSL,House02,"3,5-1_fast",fast,5,0.692792,0.027588,110.234904,8.632085
GrGSL,House02,"3,5-1_slow",slow,5,0.687396,0.057943,74.479859,0.776852
GrGSL,House02,"4,5-3_fast",fast,5,0.771145,0.051801,71.790112,0.747742
GrGSL,House02,"4,5-3_slow",slow,5,0.783381,0.066466,71.227069,1.103197
GrGSL,House03,"1-2,5_fast",fast,5,5.297597,1.184111,72.176739,0.643279
GrGSL,House03,"1-2,5_slow",slow,5,4.519605,0.628922,70.672757,0.646402
GrGSL,House03,5-3_fast,fast,5,0.670883,0.040853,164.285557,7.233526
GrGSL,House03,5-3_slow,slow,5,0.679269,0.041962,181.694779,16.340925
GrGSL,House04,"5,7-1,2_fast",fast,5,0.817499,0.040176,207.994993,32.803286
GrGSL,House04,"5,7-1,2_slow",slow,5,1.430229,0.354921,100.295149,6.925608
GrGSL,House04,"7-3,8_fast",fast,5,0.638925,0.017697,70.205553,0.682484
GrGSL,House04,"7-3,8_slow",slow,5,0.729568,0.063114,72.025732,0.870631
GrGSL,House05,"4,8-5_fast",fast,5,0.769706,0.042724,80.396187,2.405516
GrGSL,House05,"4,8-5_slow",slow,5,0.694353,0.059555,69.955074,0.242930
GrGSL,House05,"7-1,2_fast",fast,5,0.666528,0.033981,70.360919,0.697144
GrGSL,House05,"7-1,2_slow",slow,5,0.756511,0.039720,72.482635,1.049577
GrGSL,House06,"1,2-5_fast",fast,5,1.727987,0.284791,75.349496,1.715619
GrGSL,House06,"1,2-5_slow",slow,5,3.443053,0.516175,92.631081,4.477035
GrGSL,House06,"1-4,5_fast",fast,5,2.872660,0.258534,76.939766,2.329575
GrGSL,House06,"1-4,5_slow",slow,5,2.544199,0.529877,77.684352,1.088827
GrGSL,House07,"1,3-5_fast",fast,5,0.678750,0.045096,136.098019,6.556455
GrGSL,House07,"1,3-5_slow",slow,5,4.677801,0.534673,71.750215,1.059582
GrGSL,House07,6-1_fast,fast,5,0.791944,0.056470,86.432901,4.451657
GrGSL,House07,6-1_slow,slow,5,2.957953,0.516709,80.880788,2.023713
GrGSL,House08,"1,3-7_fast",fast,5,0.842079,0.068471,71.078042,1.158902
GrGSL,House08,"1,3-7_slow",slow,5,0.997876,0.055430,72.468165,0.896525
GrGSL,House08,"8,7-6_fast",fast,5,0.764835,0.035534,146.279626,9.690464
GrGSL,House08,"8,7-6_slow",slow,5,0.654070,0.028557,103.129414,4.401940
GrGSL,House09,"6-2,5_fast",fast,5,0.716228,0.059718,150.940160,9.422012
GrGSL,House09,"6-2,5_slow",slow,5,0.659068,0.027274,71.723101,1.111514
GrGSL,House09,"6-7,3_fast",fast,5,0.716777,0.063794,188.066115,23.658437
GrGSL,House09,"6-7,3_slow",slow,5,0.812791,0.033552,73.438841,0.996114
GrGSL,House10,"1-3,2_fast",fast,5,1.271005,0.192360,86.343669,5.330964
GrGSL,House10,"1-3,2_slow",slow,5,1.187165,0.152022,99.961058,6.360777
GrGSL,House10,"2,3-1_fast",fast,5,0.734131,0.065058,150.557788,7.864090
GrGSL,House10,"2,3-1_slow",slow,5,2.229051,0.360462,124.882392,8.252755
GrGSL,House11,"1-2,3_fast",fast,5,0.995576,0.108340,86.161035,2.080767
GrGSL,House11,"1-2,3_slow",slow,5,1.637792,0.240965,107.811163,10.369713
GrGSL,House11,3-2_fast,fast,5,1.284744,0.279634,90.292317,4.915529
GrGSL,House11,3-2_slow,slow,5,1.310642,0.110177,118.543418,11.875362
GrGSL,House12,"4,6-1_fast",fast,5,1.233436,0.222945,87.728688,2.303832
GrGSL,House12,"4,6-1_slow",slow,5,1.667244,0.331197,95.811637,5.973955
GrGSL,House12,"6,7-1_fast",fast,5,1.011125,0.078352,79.189132,2.572013
GrGSL,House12,"6,7-1_slow",slow,5,1.411874,0.272050,108.097285,9.438043
GrGSL,House13,"1,3-6_fast",fast,5,2.456890,0.381547,90.551156,2.788220
GrGSL,House13,"1,3-6_slow",slow,5,2.705691,0.423889,93.423154,6.777243
GrGSL,House13,"2,3-4,6_fast",fast,5,1.076844,0.165706,74.415829,0.777849
GrGSL,House13,"2,3-4,6_slow",slow,5,1.555831,0.198361,86.988804,5.304970
GrGSL,House14,"1,2-4,5_fast",fast,5,1.716303,0.293625,75.695657,1.530677
GrGSL,House14,"1,2-4,5_slow",slow,5,2.226830,0.469335,84.714682,3.991092
GrGSL,House14,"3,4-2,6_fast",fast,5,2.556520,0.271791,79.781984,1.586897
GrGSL,House14,"3,4-2,6_slow",slow,5,3.168898,0.597143,85.956359,3.025117
GrGSL,House15,"1,2-3,4_fast",fast,5,2.152867,0.420053,76.688741,1.337254
GrGSL,House15,"1,2-3,4_slow",slow,5,3.028977,0.489552,90.077037,5.752770
GrGSL,House15,"3-1,2_fast",fast,5,1.925993,0.240692,74.775344,0.991014
GrGSL,House15,"3-1,2_slow",slow,5,2.802442,0.497813,78.995974,2.739413
GrGSL,House16,"1,2-4,5,6_fast",fast,5,1.170301,0.155439,75.878323,1.832581
GrGSL,House16,"1,2-4,5,6_slow",slow,5,2.601043,0.543461,99.508733,6.361818
